,baseMean,log2FoldChange,pvalue,padj
gene_01264,146.28706144605434,2.3430113222908604,2.0484863135384552e-07,0.00040969726270769104
gene_00237,181.8673002345116,2.3331477808343424,6.344534497260248e-07,0.0006344534497260247
gene_01488,46.60983164753802,-1.3547546796353669,4.616157592558813e-06,0.002790472704151159
gene_01117,21.425389592277675,-1.9009672346405593,5.580945408302318e-06,0.002790472704151159
gene_00196,35.42562768643876,-2.2213438111063373,9.349700639143404e-06,0.003116566879714468
gene_00976,152.40834592024424,2.0731363203946125,8.604297572407505e-06,0.003116566879714468
gene_00128,129.84696748959408,1.942756332228354,2.259917705459567e-05,0.006456907729884477
gene_00389,30.988719593540207,-1.8769356222466274,2.6446167775369255e-05,0.006611541943842314
gene_01650,72.12444848638953,1.9098962630853893,3.842364514979885e-05,0.008390686197517152
gene_01919,77.95694107542893,1.8312939004255226,4.195343098758576e-05,0.008390686197517152
gene_00829,240.03427203883,-1.9926227407203116,4.66694977763978e-05,0.008485363232072328
gene_01852,126.62095694455192,1.59576401412938,8.670246009001163e-05,0.012467020759963
gene_01194,124.49723664208439,1.7614889969436458,8.522779129598282e-05,0.012467020759963
gene_01235,50.781192801253695,-2.3437580942188885,8.726914531974099e-05,0.012467020759963
gene_01504,91.83411677577818,-1.5881061103986749,0.00010897794032639114,0.01453039204351882
gene_01722,91.4798221982025,1.6085805893514835,0.00012877662149268388,0.014821984896271184
gene_00658,21.532821580504553,1.8727378521077696,0.00018069218523252757,0.014821984896271184
gene_00577,4.070436270670982,-1.6220177982156423,0.0001721867895439062,0.014821984896271184
gene_00929,68.9719954511169,-1.461620724752399,0.00014140978500314455,0.014821984896271184
gene_01395,236.1396355730704,0.972679632513422,0.00018527481120338978,0.014821984896271184
gene_00006,27.072039270593244,2.1606123215942485,0.0001698057480233046,0.014821984896271184
gene_01443,54.88098284296582,1.455587321686931,0.0001446705975643213,0.014821984896271184
gene_01236,32.84909344498024,-2.2355083280372776,0.0001620711979203248,0.014821984896271184
gene_00334,89.70605420513256,2.0612645160377276,0.000154552993310794,0.014821984896271184
gene_00089,134.74115694725003,1.4047391719722233,0.00013894188753120829,0.014821984896271184
gene_00244,74.4018627503082,2.7082654605404,0.0002375572041932415,0.018060940533670918
gene_00037,14.955059695228067,-1.8215866838843002,0.0002438226972045574,0.018060940533670918
gene_00503,26.823264799626763,2.474114864685368,0.00030245462882716657,0.018198422779846218
gene_00970,35.24998755014406,-2.1656102852492496,0.00027342211679719496,0.018198422779846218
gene_00035,204.0294012143225,2.169079313750373,0.00029153459679235786,0.018198422779846218
gene_00552,19.644909976886268,-2.09321730346957,0.0003059289614070024,0.018198422779846218
gene_00050,595.0142220119832,2.283508144383394,0.00030418895335950847,0.018198422779846218
gene_01187,49.59688159141763,1.89163543206026,0.000256432806783181,0.018198422779846218
gene_01226,68.2951397841124,-1.9789375676020506,0.0003093731872573857,0.018198422779846218
gene_01225,28.32610423540857,-2.115906658571152,0.00034472443809330174,0.01848433207276821
gene_01131,23.901686836434006,2.0624355883362053,0.00034597645621587883,0.01848433207276821
gene_01939,35.86294395899451,1.3997713390290225,0.000351202309382596,0.01848433207276821
gene_01047,9.37156197389143,-1.6328114462713341,0.00032514958578206977,0.01848433207276821
gene_00548,31.112609547525693,2.168911637629603,0.00039610942496414386,0.02004647047960482
gene_00369,43.55864110602487,-2.1416511592970164,0.00040092940959209647,0.02004647047960482
gene_01460,28.827798625151008,-0.7871103779226702,0.0004117878073369607,0.020087210113998083
gene_00333,26.445616202449408,2.4606890941592163,0.00045666410488614737,0.021404720735332373
gene_00447,25.040053583650074,-1.9285805907446183,0.0004614972258270531,0.021404720735332373
gene_00270,38.997638212765914,1.578427671668934,0.0004709038561773122,0.021404720735332373
gene_01450,111.39548320890079,1.4947181237004141,0.0004884123692106651,0.021707216409362892
gene_01988,64.41049599063221,-2.1196221881568023,0.0005514105972740778,0.02396215802106963
gene_00744,15.736826372707256,-2.491702505242505,0.0005631107134951363,0.02396215802106963
gene_01719,30.560525356752038,1.3701490453058316,0.0006627520475191937,0.025671124309467365
gene_01507,12.79906604147612,-1.6684310311442043,0.0006242149541759128,0.025671124309467365
gene_01614,12.996456709186655,-1.9429948777382648,0.0006965285888087174,0.025671124309467365
gene_01585,73.98094544382738,2.124660655398762,0.0006859846734426323,0.025671124309467365
gene_01157,670.8871869026258,2.386850353682212,0.0007059559185103526,0.025671124309467365
gene_01075,15.529602046401015,1.772594079788644,0.0006636935485738106,0.025671124309467365
gene_00392,12.177240882714822,-2.450578640495875,0.0006676489083793476,0.025671124309467365
gene_01894,67.53690025218938,-2.364661403109382,0.000689427715493668,0.025671124309467365
gene_00199,31.444664967721526,1.6887454593442521,0.0007355673974256392,0.026270264193772826
gene_01289,53.49229538002788,1.6787515627080918,0.0007722711205519326,0.02709723230006781
gene_00234,80.60058789058452,2.4408155264674325,0.0009207829623283176,0.03175113663201095
gene_00639,35.120857751954524,-1.247484934265294,0.000982335768907404,0.03329951759008149
gene_01723,24.69983897124239,-1.968225342486783,0.0009996738045605841,0.03332246015201947
gene_01651,117.91886003691013,-1.6461584418243267,0.0010886304547703196,0.035692801795748186
gene_00977,16.78005088028771,-2.17438457749407,0.0012391869679370697,0.03997377315926031
gene_00292,70.36809012517575,-1.9856174537729738,0.0013611998870961283,0.04219266496714003
gene_00651,63.034010173187845,-1.3500057299348354,0.0013343809935754624,0.04219266496714003
gene_01999,19.192814459978223,2.5681683500233783,0.001371261611432051,0.04219266496714003
gene_01767,214.70327497274533,1.457069470380223,0.0014353599858050127,0.043495757145606447
gene_01623,25.158763450661986,-1.588670984516642,0.0014797684517768206,0.044172192590352856
gene_01421,20.3732618001249,0.5381289804971396,0.0017696575324716334,0.052048750955048045
gene_01793,8.976112077037055,1.531471316700195,0.001926047751667565,0.055029935761930424
gene_00540,3.1235091029198605,-1.6601869220303467,0.001911856085081919,0.055029935761930424
gene_00095,27.76959835774543,-1.1041606224547316,0.0019772596028182223,0.05569745360051331
gene_01993,63.648234626357954,1.5522059832673112,0.002414058837312824,0.060854872040862346
gene_00355,53.22233951405273,1.1413170756322546,0.0023303779647929398,0.060854872040862346
gene_00857,56.45255428739533,-2.4300821273540074,0.002456356091004871,0.060854872040862346
gene_01461,55.785485405942566,2.0126343630574075,0.0025537649270991006,0.060854872040862346
gene_01677,176.81146318049605,1.2625720466847257,0.0025863320617366494,0.060854872040862346
gene_01262,26.893100750532284,-2.3995083974346594,0.0024563561351681317,0.060854872040862346
gene_00388,9.779548700030153,-2.0874185272903376,0.0022025184467431105,0.060854872040862346
gene_01731,31.62057501449774,-1.9936876935078474,0.002570924138211251,0.060854872040862346
gene_01425,2.462594463287698,-1.7271093181244437,0.0023374731828568725,0.060854872040862346
gene_01419,52.579389129948325,1.5190260707593781,0.0025550031225435475,0.060854872040862346
gene_00044,48.64601036943862,1.600351478869666,0.0024037784276028113,0.060854872040862346
gene_00985,51.16717213379342,-2.100439525238266,0.002354712128237906,0.060854872040862346
gene_01783,98.76937465138516,1.4359866672766146,0.002449112131761321,0.060854872040862346
gene_00589,26.569497442752766,-1.0180196311573668,0.002584815570558502,0.060854872040862346
gene_01698,25.19845320259555,-2.141627489277136,0.002635554963493003,0.061285476778785174
gene_00948,15.725498964726057,-1.5532942750540397,0.0026804208805293293,0.061285476778785174
gene_00005,33.91574046407355,1.416212817582591,0.002696560978266548,0.061285476778785174
gene_00654,87.97338851208286,1.806323076359303,0.002876257563206694,0.06463500142037515
gene_01798,63.369507779780406,1.1085111995989017,0.0031395692482281733,0.06976820551618163
gene_00401,54.480758305736785,1.5780066832420785,0.003239722805983367,0.07120269903260147
gene_00782,11.420426876385738,-1.3737125278231361,0.003282067923064083,0.07134930267530615
gene_01015,12.518931794730959,-1.796119384251206,0.003385595245975674,0.07203394140373776
gene_00698,38.74816413946298,1.3777915440031632,0.003373657641138017,0.07203394140373776
gene_01033,31.39758242494587,1.0542156862612984,0.003439202834185058,0.07240427019336963
gene_00465,108.40412171422038,1.608348006683613,0.0034845781063475387,0.07259537721557373
gene_01046,29.102301565197983,-1.837146502211439,0.0035430725673197857,0.07305304262515022
gene_00748,30.32477460313017,-1.6399329437866543,0.0038178420893537784,0.07791514468068936
gene_01982,24.66751220948304,-1.4237089080474314,0.003871891675842072,0.0782200338553954
gene_01183,20.428369361662654,-0.921028658785235,0.004009227043649969,0.0786122949735288
gene_00703,50.09694555150112,-1.7343648364493605,0.0039986644053711115,0.0786122949735288
gene_00725,14.26839773671595,-1.1929425610955209,0.00397443034459562,0.0786122949735288
gene_00301,74.43538540227917,-1.449303170734847,0.004117044316726371,0.0799426080917742
gene_00302,24.61014265188184,-1.0443568941889712,0.004207924292780322,0.08092162101500619
gene_01249,36.189758849619764,-0.5777016294982384,0.004278261126135064,0.08149068811685838
gene_01334,24.987999112249497,-1.5383558667969457,0.0043380076243932555,0.0815688947089303
gene_00459,20.872646688504613,-1.04404015550726,0.004363935866927771,0.0815688947089303
gene_01590,34.12872190542565,-1.380357283813477,0.004465679393760894,0.08269776655112766
gene_00025,31.731673308315873,-0.7972234826399511,0.0045577067195331795,0.08362764622996659
gene_00830,7.425319130656571,0.5573734398389976,0.004908338983618941,0.08924252697488982
gene_01948,10.862468653543798,-2.4102024296889994,0.005000183530198074,0.09009339694050583
gene_01957,22.064757667227052,-2.712769226396139,0.005285581120683856,0.09438537715506887
gene_00994,21.456036250848086,-1.2488534117976422,0.005466310814313398,0.09674886397014863
gene_01439,33.52370819290761,1.6756362250054955,0.005794044026802463,0.10164989520706075
gene_01976,41.588567134843814,-0.9703889425713454,0.005897377994579631,0.10256309555790662
gene_00427,64.60597095051968,1.7027854440294683,0.0059602779391752835,0.10276341274440144
