,baseMean,log2FoldChange,padj
gene_01054,25.77993327031929,-6.803596061555751,0.0011097771367093675
gene_00464,16.221987257974853,6.4344218616435125,0.0016053365407928816
gene_00418,8.073907325576183,-6.13435712528089,0.0021671179555058004
gene_00812,15.873473769059462,5.482334907417644,0.004159606055386002
gene_01088,25.386044661339962,5.145510206434034,0.0058255013973642755
gene_00234,7.784079455480145,-5.107457262990336,0.006051450624774064
gene_00985,3.5554665919972237,-4.989908545897392,0.006806286926630989
gene_00438,7.199270497076825,4.870028480926955,0.007673146746451374
gene_00376,23.285012325815988,-4.782757937889804,0.008372875225395534
gene_01165,36.497380897872624,4.762226816672293,0.008546556577125507
gene_00247,29.222652175098627,4.719390308185141,0.008920615717158744
gene_00215,11.530953213879537,4.695907480434805,0.00913257597230524
gene_00274,16.514551522189976,-4.641657158990019,0.009641706540637653
gene_00249,42.154329215386255,-4.587532423406675,0.010177942264530731
gene_00624,5.676658782971936,4.540456031992798,0.010668540248342144
gene_00967,50.3766139179153,4.4994554385182965,0.011115047717327397
gene_00507,26.16936935933093,-4.496336233036034,0.011149771962977631
gene_01014,16.020640653638694,4.480882511589507,0.011323415698294141
gene_01127,13.235839102480723,-4.476635674188472,0.011371606660750499
gene_00163,18.93992775399775,-4.44151311609853,0.011778103391992345
gene_00661,4.945145999490913,4.3916915186564145,0.012379770886317696
gene_01080,9.581271163332561,-4.361000872969543,0.012765604504962065
gene_00558,27.50779133228227,4.322634427530593,0.01326489207456637
gene_00613,3.5153782027499396,4.32197678269605,0.013273618531460122
gene_00124,9.010647635269263,-4.278119587734305,0.013868716486886588
gene_00480,27.074372685023697,-4.275427288895804,0.013906105524822989
gene_00429,3.177718601193324,4.275188963575494,0.013909420096833982
gene_00854,50.82152486938538,4.269608460734759,0.013987258642305437
gene_01137,48.65875882618828,4.24373278764475,0.014353911613069871
gene_00858,3.6990645342340747,-4.21849168475551,0.01472083142270874
gene_01107,19.109991296709715,4.166723851273527,0.015502967042585365
gene_00875,2.6816826112042995,4.140191896687581,0.01591979625520662
gene_00750,17.391673959564052,4.135992983848991,0.015986782628643097
gene_00498,31.640495417323322,4.091085403529061,0.01672107459208828
gene_00726,10.132177775769685,-4.073450586005447,0.01701856305919291
gene_01159,7.981594740678056,4.053074225596071,0.017368896573370107
gene_00140,42.681910355508045,-4.012489005380308,0.018088317241451966
gene_00505,2.5588430617237052,4.010848456370772,0.018118016367161226
gene_00212,22.53808523710382,4.000055089710887,0.018314629913275423
gene_00620,11.053572966277983,-3.999094121213897,0.01833223815478376
gene_00277,21.29614128478886,3.9903405647215417,0.018493414842548118
gene_00031,20.016830486588237,-3.953546680455907,0.01918653245976369
gene_00557,15.386768696323697,3.950864540629707,0.01923806249709167
gene_01196,16.395039437648002,-3.940379800722667,0.019440829701881716
gene_01191,10.532990706134019,-3.932862463163185,0.01958752366439411
gene_00201,11.21194070635007,3.920733763834601,0.019826541406617403
gene_00754,18.134522299852414,-3.9108034168971444,0.020024406650630433
gene_00146,29.452357005699103,3.8960434074108368,0.02032215909155439
gene_00574,15.308457261849377,3.8518593831821217,0.02124020601681325
gene_00379,11.24349563794992,-3.848938678834076,0.021302333062080934
gene_00072,9.96662084263981,3.845221399233786,0.02138166715235459
gene_00211,6.825994574899969,-3.8433566456770185,0.021421575890642825
gene_00839,14.690899428102936,-3.8395103606737893,0.021504128034500615
gene_00983,3.0788832213950488,-3.827788141944684,0.02175768736238318
gene_00862,15.190198074136564,3.7618100116607027,0.023241634650734883
gene_00520,11.832513022998931,-3.758392461591704,0.023321199982650687
gene_00244,11.24664306303901,3.74810853095707,0.023562271039984158
gene_00927,26.854133848915353,3.7460838055999046,0.023610026497159254
gene_00136,17.85746048566196,3.7414124521891585,0.023720575280153134
gene_00958,21.834258724454692,-3.6705669933416134,0.02546202905218582
gene_00943,46.80380872056233,3.6498981280946015,0.025993776679438547
gene_00204,5.5138867716885125,-3.6247626262168287,0.026655423884256915
gene_00196,16.483310086881662,3.5989604476674284,0.0273521416557651
gene_00993,13.892763665910573,-3.5494603628724968,0.028740144719449166
gene_00119,11.427412632526211,-3.5493262179809215,0.028744000321645303
gene_01160,12.958637760685264,3.539954998863857,0.029014632744256967
gene_00582,3.148408228061828,3.524435004851634,0.029468452199062745
gene_00102,7.573820254817503,-3.517288984347447,0.029679788570391028
gene_00173,4.852043940903819,3.515610929128414,0.029729634705087923
gene_00747,14.156564864591733,-3.5136077096406964,0.02978924937939496
gene_00042,4.213991214696666,-3.5129136051568826,0.02980993340856691
gene_00555,8.731197717719105,3.464428563948803,0.03129088105596512
gene_00570,44.298662290639506,3.408431712209,0.03309305914114163
gene_00651,15.187008804593859,-3.4081258871661557,0.033103181375108745
gene_00043,15.194638594000612,3.4045061774173657,0.03322322240923116
gene_00632,30.78186842613535,-3.4016926781744163,0.033316827537560274
gene_01081,11.140189489043177,3.395778936119414,0.033514438395620065
gene_00989,21.785147794606633,3.3952394470530054,0.03353252394674122
gene_00995,4.511292355163047,3.3616958289037697,0.03467640380686692
gene_00966,8.823396782754168,3.327644057422009,0.03587753098013338
gene_00510,5.235663297386155,-3.319184120002435,0.03618234016235305
gene_00319,6.952791916273309,-3.318631778712596,0.036202330683074484
gene_00948,4.560697045439582,3.3146591269919807,0.03634643598491857
gene_00116,16.916801138221057,3.306769283043728,0.036634337950222855
gene_00960,4.234866993470662,-3.2940491646545733,0.037103307416313014
gene_01174,13.537746503820996,3.288351253779139,0.03731532220222318
gene_00900,12.524114085140784,3.2628226359821726,0.03828019432566751
gene_00224,11.051467516767673,3.256973799857097,0.03850474494887771
gene_00904,14.827313063805128,-3.2514356395180988,0.03871858198556132
gene_00071,12.50557557903189,3.2433039546676854,0.039034712888567566
gene_00061,7.033161881777755,3.214288950825712,0.040183896394075214
gene_01184,5.335117680559228,-3.2131561880961077,0.04022944100498954
gene_01130,6.895504890912728,3.1924323254182414,0.041071849242835565
gene_00992,10.479726272170838,-3.186051734563772,0.041334749746834425
gene_00942,6.370759129194784,-3.185716512148417,0.04134860840421918
gene_01195,16.194538925254978,-3.1856873470260414,0.041349814359029166
gene_01062,10.392402161263686,-3.184819962789588,0.04138569609556113
gene_00848,9.018030701626527,-3.1838944962469307,0.04142401490129352
gene_01029,26.629329780851915,3.1773807553547337,0.04169472089829226
gene_00800,23.42387235579214,3.1627219533620408,0.04231041721623342
gene_00527,10.302436722539017,-3.161010884057002,0.04238287524509175
gene_00847,57.132574951507635,-3.146745986938414,0.04299179536590093
gene_00932,30.554853571033323,3.1357635202635006,0.043466553561948104
gene_01069,9.133501295799691,-3.1316812666943896,0.04364435772928926
gene_00554,15.763501161966396,-3.1227858829727104,0.044034322912125036
gene_00454,16.929234236984975,-3.1143652686344625,0.0444066845195158
gene_00506,17.790002174921963,3.0957671255204016,0.045240294161109376
gene_00335,22.391237744083195,3.093152525253913,0.04535873421550524
gene_00009,25.273102788301035,3.0614898531807775,0.046817891449721975
gene_00413,3.162393876884985,3.054474098065832,0.047147509217899244
gene_01113,10.139048823369025,3.0514147393115594,0.04729197123085271
gene_00222,4.582818176125665,-3.0495682309939407,0.04737937692192003
gene_00295,3.131817376311343,-3.049486239686383,0.047383261778245166
gene_00366,10.093306221028616,-3.0393478532139406,0.047866095037835045
gene_00741,6.592103269399971,-3.0341289999609455,0.04811655414983974
gene_00132,1.1923002868028605,3.0329013110606464,0.04817566258525106
gene_01074,6.441847485506792,3.0217287817416314,0.04871692459049988
gene_00190,12.330623704895189,-3.0128788182048147,0.04914998103715447
gene_00378,7.1378407877162395,3.0077990360466824,0.04940028744667023
gene_00961,12.43333887899421,-3.0047727090235465,0.04955001531999988
gene_00920,5.182819972576976,3.0001022192110103,0.04978197943311474
